,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,73.0,1.0,0.0,0.0,0.0,98.65
Thicket,0.0,117.0,5.0,0.0,0.0,95.9
Shrub,0.0,5.0,307.0,8.0,0.0,95.94
Grassland,0.0,0.0,1.0,439.0,1.0,99.55
Barren,0.0,0.0,0.0,0.0,19.0,100.0
User’s Acc (%),100.0,95.12,98.08,98.21,95.0,
