,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,81.0,0.0,1.0,0.0,0.0,98.78
Thicket,1.0,163.0,6.0,2.0,0.0,94.77
Shrub,1.0,5.0,261.0,15.0,1.0,92.23
Grassland,0.0,1.0,15.0,445.0,0.0,96.53
Barren,0.0,0.0,3.0,2.0,14.0,73.68
User’s Acc (%),97.59,96.45,91.26,95.91,93.33,
