,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,75.0,1.0,0.0,0.0,0.0,98.68
Thicket,4.0,119.0,4.0,5.0,0.0,90.15
Shrub,1.0,1.0,297.0,14.0,1.0,94.59
Grassland,0.0,2.0,20.0,413.0,0.0,94.94
Barren,0.0,0.0,0.0,0.0,21.0,100.0
User’s Acc (%),93.75,96.75,92.52,95.6,95.45,
