,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,85.0,1.0,1.0,0.0,0.0,97.7
Thicket,1.0,163.0,8.0,2.0,0.0,93.68
Shrub,0.0,3.0,288.0,17.0,0.0,93.51
Grassland,0.0,2.0,15.0,442.0,0.0,96.3
Barren,0.0,0.0,0.0,1.0,14.0,93.33
User’s Acc (%),98.84,96.45,92.31,95.67,100.0,
