,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,90.0,0.0,1.0,0.0,0.0,98.9
Thicket,0.0,166.0,3.0,0.0,0.0,98.22
Shrub,0.0,5.0,290.0,5.0,0.0,96.67
Grassland,0.0,1.0,17.0,473.0,0.0,96.33
Barren,0.0,0.0,0.0,1.0,24.0,96.0
User’s Acc (%),100.0,96.51,93.25,98.75,100.0,
