,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,89.0,0.0,1.0,0.0,0.0,98.89
Thicket,0.0,173.0,2.0,0.0,0.0,98.86
Shrub,0.0,3.0,287.0,18.0,0.0,93.18
Grassland,0.0,1.0,8.0,483.0,0.0,98.17
Barren,0.0,0.0,2.0,3.0,19.0,79.17
User’s Acc (%),100.0,97.74,95.67,95.83,100.0,
