,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,84.0,1.0,0.0,0.0,0.0,98.82
Thicket,0.0,168.0,3.0,0.0,0.0,98.25
Shrub,0.0,1.0,289.0,11.0,0.0,96.01
Grassland,0.0,1.0,8.0,456.0,1.0,97.85
Barren,0.0,0.0,0.0,2.0,17.0,89.47
User’s Acc (%),100.0,98.25,96.33,97.23,94.44,
