,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,86.0,0.0,0.0,0.0,0.0,100.0
Thicket,2.0,108.0,7.0,3.0,0.0,90.0
Shrub,0.0,4.0,238.0,18.0,0.0,91.54
Grassland,0.0,3.0,11.0,406.0,0.0,96.67
Barren,0.0,0.0,0.0,0.0,17.0,100.0
User’s Acc (%),97.73,93.91,92.97,95.08,100.0,
