,Forest,Thicket,Shrub,Grassland,Barren,Producer’s Acc (%)
Forest,87.0,1.0,0.0,0.0,0.0,98.86
Thicket,0.0,124.0,3.0,0.0,0.0,97.64
Shrub,0.0,7.0,279.0,15.0,0.0,92.69
Grassland,0.0,0.0,17.0,428.0,0.0,96.18
Barren,0.0,0.0,0.0,0.0,24.0,100.0
User’s Acc (%),100.0,93.94,93.31,96.61,100.0,
