system:index,EVI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,class6,.geo
0000000000000000000f_0,0.4282123436514215,0.7372067,0.01593,0.020742499999999997,0.04565749999999999,0.041917499999999996,0.2770975,0.17185499999999998,0.08770499999999998,321.32631433999995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.256764902478345,-3.5289236473575434]}"
00000000000000000010_0,0.37523311075016547,0.68209493,0.016534999999999994,0.022694999999999993,0.048132499999999995,0.047967499999999996,0.253805,0.1701225,0.09815499999999999,327.2668331,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.2559542058199,-3.5294657689915665]}"
00000000000000000011_0,0.36380403799303657,0.736555,-0.0030175000000000063,0.0083675,0.03746250000000001,0.03628000000000001,0.2391475,0.13440000000000002,0.06617250000000002,325.77657638,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.26541646218609,-3.5178036883514183]}"
00000000000000000012_0,0.2773714237946961,0.67240447,0.001794999999999991,0.010539999999999994,0.03471250000000001,0.035564999999999986,0.18156250000000002,0.12199749999999998,0.07246999999999998,330.44217368,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.26460577992538,-3.518345820770629]}"
00000000000000000013_0,0.4549884768064002,0.77430475,0.014967499999999995,0.019147499999999984,0.04486000000000001,0.035922499999999996,0.282405,0.1663825,0.08575250000000001,323.91033746,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.259201495700495,-3.5215981652109623]}"
00000000000000000014_0,0.3142448901004246,0.6314046,0.012712499999999988,0.02162249999999999,0.04862749999999999,0.04978250000000001,0.22033750000000002,0.15527249999999998,0.0870725,318.99180667999997,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25757947271391,-3.523496573835168]}"
00000000000000000015_0,0.30968641686662973,0.64956397,0.009385000000000004,0.018515000000000004,0.043375,0.04480500000000001,0.210905,0.157335,0.08256249999999998,319.44298532,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25784977451631,-3.5232254037299664]}"
00000000000000000016_0,0.3375307279385942,0.6221251,0.021485000000000004,0.02772749999999999,0.0505525,0.05619000000000002,0.24120999999999998,0.18929,0.10613,324.2931557,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25676942775859,-3.523224538957807]}"
00000000000000000017_0,0.24403139870663365,0.5096328,0.024042499999999994,0.02990000000000001,0.05286249999999998,0.06350499999999998,0.19550499999999998,0.20196750000000002,0.1320075,325.83810073999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25649912570999,-3.5234957086817995]}"
00000000000000000018_0,0.35282708477192415,0.6588263,0.018075000000000008,0.024455000000000005,0.048490000000000005,0.049479999999999996,0.2405775,0.1812875,0.10530499999999998,321.84243535999997,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.256768997096614,-3.523767311216707]}"
